title,rating,reviews
Institut Teknologi Massachusetts,4.7,3790
Cambridge University,4.6,2876
Universitas Oxford,4.6,6160
Universitas Harvard,4.5,5731
Universitas Stanford,4.6,3775
Imperial College London,4.5,1073
ETH Zuerich,4.7,859
Universitas Nasional Singapura,4.5,2010
University College London,4.5,1528
"Universitas California, Berkeley",3.5,1619
Universitas Chicago,4.6,927
Universitas Pennsylvania,4.5,1530
Universitas Cornell,4.6,1175
Universitas Melbourne,4.5,1321
Institut Teknologi California,4.7,675
Universitas Yale,4.5,1911
Universitas Peking,4.5,442
Universitas Princeton,4.7,1704
Universitas New South Wales,4.3,1126
Universitas Sydney,4.4,1513
Universitas Toronto,4.4,1884
Universitas Edinburgh,4.3,674
Universitas Columbia,4.6,2479
PSL Research University,4.5,22
Universitas Tsinghua,4.6,449
Universitas Teknologi Nanyang,4.5,1194
Tung Wah College Mongkok Campus Cheung Chin Lan Hong Building,4.2,5
Johns Hopkins Bloomberg School of Public Health,4.5,39
Universitas Tokyo,4.4,2286
Universitas California,4.6,2402
Universitas McGill,4.5,1206
Universitas Manchester,4.5,1316
Universitas Michigan,4.4,584
Universitas Nasional Australia,4.4,512
Universitas British Columbia,4.5,1978
École Polytechnique Fédérale de Lausanne,4.7,693
Universitas Teknik München,4.5,841
Institute Polytechnic De Paris,4,7
Universitas New York,4.4,1679
King's College London,4.1,724
Seoul National University,4.6,1703
Universitas Monash,4.3,1010
Universitas Queensland,4.5,1143
Universitas Zhejiang,4.6,209
London School of Economics and Political Science,4.4,743
Universitas Kyoto,4.4,1097
Universitas Teknologi Delft,4.6,786
Northwestern Roberta Buffett Institute for Global Affairs,,
Chinese University of Hong Kong,4.3,452
Universitas Fudan,4.5,165
Universitas Jiao Tong Shanghai,4.4,140
Universitas Carnegie Mellon,4.8,567
Universitas Amsterdam,4.2,424
Ludwig Maximilian University of Munich,4.2,526
Universitas Bristol,4.4,672
"Korea Advanced Institute of Science & Technology (KAIST), Daejeon",4.7,487
Universitas Duke,4.5,530
University of Texas di Austin,4.4,803
Sorbonne University Abu Dhabi,4.3,135
Universitas Sains dan Teknologi Hong Kong,4.3,326
KU Leuven,3.7,290
Universitas California,4.6,1433
University of Washington,4.7,1710
Universitas Illinois Urbana-Champaign,4.6,1185
Universitas Politeknik Hong Kong,4,327
Universitas Malaya,4.4,958
Universitas Warwick,4.5,1089
Universitas Auckland,4.1,642
Universitas Nasional Taiwan,4.6,5436
City University of Hong Kong (CityU),3.9,181
University of Paris-Saclay,4.3,123
Universitas Australia Barat,4.4,708
Universitas Brown,4.5,719
Royal Institute of Technology,4.6,499
Universitas Leeds,4.5,877
Universitas Glasgow,4.7,1304
Universitas Yonsei,4.7,1000
Universitas Durham,4.5,491
Universitas Korea,4.6,1133
Universitas Osaka,4.3,631
Universitas Negeri Moskwa M.V. Lomonosov,4.7,3196
Universitas Ruprecht Karl Heidelberg,4.5,687
Universitas Adelaide,4.4,642
Universitas Teknologi Sydney,4.3,737
Tokyo Institute of Technology,4.4,558
Universitas Zürich,4.6,605
Universitas Boston,4.3,332
National Autonomous University of Mexico,4.8,4604
Universitas Buenos Aires,4.3,565
Universitas St. Andrews,4.5,380
Institut Teknologi Georgia,4.6,1184
Universitas Bebas Berlin,3.9,689
Universitas Purdue,4.6,1373
Universitas Sains dan Teknologi Pohang,4.7,265
Universitas Wisconsin-Madison,4.6,1031
Pontificia Universidad Catolica De Chile,4.5,2
Universitas Sheffield,4.4,337
Universitas Uppsala,4.5,596
Universitas Aachen,4.4,1178
Universitas Kopenhagen,4.5,300
Universitas Utrecht,4.4,782
Aalto University,4.6,532
Universitas Newcastle,4.3,496
University Of Alberta,4.6,5
Universitas Waterloo,4.3,1005
Universitas Tohoku,4.4,244
Western University,4.3,898
Universitas Helsinki,4.5,236
Universitas Southern California,4.6,1632
Universitas Oslo,4.5,329
Universitas Stockholm,4.3,340
Universitas California,4.4,900
Institut Teknologi Karlsruhe,4.5,607
Universitas Humboldt Berlin,4.4,1047
Universitas Teknik Denmark,4.7,484
Universitas Lancaster,4.4,624
Politeknik Milano,4.4,1544
